code,title,description,sector,status,owner,coord_with,response_type,source_doc,trigger_dclass_class,trigger_dclass_months,trigger_vuln_op,trigger_vuln_value,trigger_exp,trigger_other
ACT-WASH-1,Emergency water tankering,Dispatch tankers to affected Tinkhundla,WASH,active,Department of Water Affairs,Eswatini Water Services,institutional,NWEP 2024 §4.2,3,3,gte,2,population gte 2000,
ACT-FOOD-1,Fodder pre-positioning,Pre-position livestock fodder ahead of severe drought,FOOD,active,Ministry of Agriculture,NAMBoard,institutional,NAP 2023,4,2,gte,3,cattle gte 1500;cropland gte 3000,
ACT-HEALTH-1,Nutrition screening surge,Scale up child nutrition screening,HEALTH,active,Ministry of Health,UNICEF,public,Health SOP 2024,3,4,gte,3,population gte 1000,
ACT-COORD-1,Activate district response teams,Stand up coordination cells,COORD,active,NDRMA,Regional offices,institutional,NDRMA Handbook,4,1,,,,Escalate when multiple sectors trigger
ACT-DEMO-COORD-1,National drought situation reporting,Weekly situation report consolidated across all Tinkhundla.,COORD,draft,NDMA,All sectors,public,Demo data,0,1,,,,
ACT-DEMO-COORD-2,Inter-agency response activation,Stand up the national response coordination structure.,COORD,draft,NDMA,Cabinet,public,Demo data,4,1,,,,
ACT-DEMO-WASH-1,Borehole rehabilitation programme,Restore non-functional boreholes in affected Tinkhundla.,WASH,draft,Department of Water Affairs,Eswatini Water Services,public,Demo data,2,2,,,population gte 15000,
ACT-DEMO-WASH-2,Emergency water trucking,Dispatch water tankers where local sources have failed.,WASH,draft,Department of Water Affairs,NDMA,public,Demo data,4,1,gte,3,,
ACT-DEMO-WASH-3,Water quality surveillance,Routine sampling and testing of community water points.,WASH,draft,Ministry of Health,Department of Water Affairs,institutional,Demo data,1,1,,,,
ACT-DEMO-FOOD-1,Drought-tolerant seed distribution,Distribute short-season seed ahead of the planting window.,FOOD,draft,Ministry of Agriculture,NAMBoard,public,Demo data,2,2,,,cropland gte 1500,
ACT-DEMO-FOOD-2,Livestock feed supplementation,Subsidised fodder for smallholder herds.,FOOD,draft,Ministry of Agriculture,Dairy Board,public,Demo data,3,2,,,,
ACT-DEMO-FOOD-3,Crop condition field assessment,Enumerator survey of standing crop condition.,FOOD,draft,Ministry of Agriculture,Central Statistical Office,institutional,Demo data,1,1,,,,
ACT-DEMO-HEALTH-1,Child nutrition screening scale-up,Expand MUAC screening at clinic and community level.,HEALTH,draft,Ministry of Health,UNICEF,public,Demo data,3,1,gte,3,,
ACT-DEMO-HEALTH-2,Mobile clinic outreach,Deploy mobile clinics to high-population Tinkhundla.,HEALTH,draft,Ministry of Health,Red Cross,public,Demo data,4,1,,,population gte 20000,
ACT-DEMO-HEALTH-3,Nutrition surveillance reporting,Monthly nutrition indicator returns from facilities.,HEALTH,draft,Ministry of Health,NDMA,institutional,Demo data,1,1,,,,
ACT-DEMO-ENV-1,Rangeland rehabilitation,Reseeding and grazing rest in degraded rangeland.,ENV,draft,Eswatini Environment Authority,Ministry of Agriculture,public,Demo data,2,3,,,land_use_dvi_agri gte 0.6,
ACT-DEMO-ENV-2,Wildfire risk monitoring,Heightened fire watch during extreme dry conditions.,ENV,draft,Eswatini Environment Authority,Fire and Emergency Services,institutional,Demo data,4,1,,,,
ACT-DEMO-EDU-1,School feeding continuity,Maintain school meals where household food access is stressed.,EDU,draft,Ministry of Education,WFP,public,Demo data,3,1,,,,
ACT-DEMO-EDU-2,School water supply check,Verify water availability at schools before term start.,EDU,draft,Ministry of Education,Department of Water Affairs,institutional,Demo data,2,1,,,,
ACT-DEMO-SOCIAL-1,Emergency cash transfer targeting,Enrol affected households into emergency cash transfers.,SOCIAL,draft,Deputy Prime Minister's Office,WFP,public,Demo data,4,2,gte,3,,
ACT-DEMO-SOCIAL-2,Elderly and under-5 welfare checks,Community welfare visits to at-risk household members.,SOCIAL,draft,Deputy Prime Minister's Office,Red Cross,public,Demo data,3,1,,,,
ACT-DEMO-TRANS-1,Rural access road maintenance,Keep relief routes passable to affected Tinkhundla.,TRANS,draft,Ministry of Public Works,Roads Department,public,Demo data,3,2,,,,
ACT-DEMO-TRANS-2,Relief logistics pre-positioning,Stage relief stock at regional warehouses.,TRANS,draft,NDMA,Ministry of Public Works,institutional,Demo data,4,1,,,,
